commoncold,drink vitamin c rich drinks,take vapour,avoid cold drinks,keep fever in check
chicken_pox,use neem in bathing ,consume neem leaves,take vaccine,avoid public places
jaundice,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
fungal_infections,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
allergy,apply calamine,cover area with bandage,use ice to compress itching,
typhoid,eat high calorie vegitables,antiboitic therapy,consult doctor,medication
tuberculosis,cover mouth,consult doctor,medication,rest
pneumonia,consult doctor,medication,rest,follow up
acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
urinary_tract_infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
malaria,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
aids,avoid open cuts,wear ppe if possible,consult doctor,follow up
drug_reaction,stop irritation,consult nearest hospital,stop taking drug,follow up
diabetes,have balanced diet,exercise,consult doctor,follow up
hyper_tension,meditation,salt baths,reduce stress,get proper sleep
migrane,meditation,reduce stress,use poloroid glasses in sun,consult doctor
ulcer,Avoid spicy and acidic foods,meditation ,abstaining from alcohol and tobacco,
asthma,Regular Exercise,flu vaccination,pay attention with high polution,
